date,volume,close,MA20,RSI,MACD,MACD_Signal,MACD_Hist
2025-11-06,26169600,0.0,31.69,10.68,-4.605,-2.097,-2.508
2025-11-05,32145600,27.05,33.6,30.5,-2.364,-1.47,-0.894
2025-11-04,63196200,27.85,34.15,32.14,-2.222,-1.247,-0.976
2025-11-03,70721900,26.05,34.63,23.56,-2.091,-1.003,-1.088
2025-10-31,47723100,28.0,35.23,26.99,-1.71,-0.73,-0.979
2025-10-30,65614800,29.3,35.6,29.67,-1.397,-0.486,-0.911
2025-10-29,26712800,31.5,35.95,35.14,-1.109,-0.258,-0.851
2025-10-28,27812200,32.0,36.22,36.56,-0.95,-0.045,-0.905
2025-10-27,56368900,31.0,36.43,31.4,-0.784,0.181,-0.965
2025-10-24,51360700,30.95,36.68,31.14,-0.459,0.422,-0.882
2025-10-23,22088700,33.1,36.94,36.69,-0.033,0.643,-0.676
2025-10-22,35307200,34.8,37.14,42.22,0.293,0.812,-0.519
2025-10-21,76646100,34.7,37.26,41.74,0.532,0.941,-0.41
2025-10-20,45007500,35.75,37.37,45.41,0.839,1.044,-0.205
2025-10-17,42432700,38.4,37.39,57.2,1.112,1.095,0.017
2025-10-16,37095400,39.55,37.23,63.88,1.174,1.091,0.083
2025-10-15,42894900,39.6,37.1,64.19,1.12,1.07,0.05
2025-10-14,76556600,39.1,36.94,62.54,1.029,1.057,-0.029
2025-10-13,33204000,37.5,36.89,56.6,0.948,1.065,-0.116
2025-10-10,40677300,37.65,36.89,57.39,0.995,1.094,-0.099
2025-10-09,31750600,38.1,36.76,59.72,1.025,1.119,-0.094
2025-10-08,41788400,38.1,36.59,59.72,1.002,1.142,-0.14
2025-10-07,27375700,37.5,36.48,57.75,0.958,1.177,-0.219
2025-10-06,44750500,37.95,36.38,59.78,0.95,1.232,-0.282
2025-10-03,22114400,35.5,36.15,51.06,0.879,1.303,-0.423
2025-10-02,14714700,36.2,36.18,54.18,1.026,1.408,-0.383
2025-10-01,31091800,37.0,36.24,57.93,1.127,1.504,-0.377
2025-09-30,17665600,36.1,36.26,54.65,1.158,1.598,-0.441
2025-09-29,17398800,36.1,36.35,54.65,1.272,1.709,-0.436
2025-09-26,22037800,36.0,36.46,54.31,1.4,1.818,-0.418
2025-09-25,24967300,37.25,36.5,59.51,1.552,1.922,-0.37
2025-09-24,25941200,37.1,36.38,59.07,1.597,2.015,-0.417
2025-09-23,23333000,36.9,36.16,58.52,1.647,2.119,-0.472
2025-09-22,47687900,36.15,36.04,56.47,1.706,2.237,-0.531
2025-09-19,39114500,35.2,35.98,53.78,1.834,2.37,-0.536
2025-09-18,27618300,37.0,36.04,60.34,2.066,2.504,-0.437
2025-09-17,20204000,36.5,36.01,59.05,2.15,2.613,-0.463
2025-09-16,62363500,38.0,36.04,64.92,2.276,2.729,-0.452
2025-09-15,49369000,37.45,35.87,63.69,2.252,2.842,-0.59
2025-09-12,27309800,35.0,35.52,57.53,2.244,2.989,-0.745
2025-09-11,44949800,34.8,35.26,56.98,2.451,3.176,-0.725
2025-09-10,33130600,35.8,34.99,60.65,2.699,3.357,-0.658
2025-09-09,38455200,35.5,34.62,59.93,2.876,3.521,-0.646
2025-09-08,48937200,33.5,34.26,54.82,3.089,3.683,-0.594
2025-09-05,38178100,36.0,34.02,64.34,3.52,3.831,-0.311
2025-09-04,24527700,37.5,33.56,71.24,3.765,3.909,-0.144
2025-09-03,22924900,37.45,33.07,71.14,3.87,3.945,-0.075
2025-08-29,64672100,37.7,32.51,72.26,3.952,3.964,-0.011
2025-08-28,58098900,38.4,31.99,75.33,3.975,3.966,0.009
2025-08-27,61173100,36.85,31.35,72.97,3.875,3.964,-0.09
2025-08-26,32111700,34.85,30.7,69.46,3.848,3.987,-0.139
2025-08-25,35657100,32.6,30.25,64.68,3.962,4.021,-0.06
2025-08-22,43479600,34.5,29.82,73.74,4.278,4.036,0.242
2025-08-21,33667700,35.0,29.22,76.35,4.426,3.976,0.451
2025-08-20,48731400,36.5,28.55,84.72,4.501,3.863,0.637
2025-08-19,33039100,36.3,27.76,84.51,4.377,3.704,0.673
2025-08-18,38995000,37.0,26.91,88.47,4.176,3.535,0.64
2025-08-15,45093800,34.7,26.0,86.54,3.787,3.375,0.411
2025-08-13,61939500,30.35,25.15,80.98,3.47,3.273,0.197
2025-08-12,31299200,30.0,24.48,80.37,3.457,3.223,0.234
2025-08-11,46874400,29.25,23.78,79.05,3.427,3.165,0.262
2025-08-08,52277200,28.5,23.11,77.64,3.415,3.099,0.315
2025-08-07,39959500,28.35,22.48,77.36,3.426,3.02,0.405
2025-08-06,60174500,28.5,21.84,78.27,3.405,2.919,0.486
2025-08-05,77812600,26.8,21.2,75.18,3.314,2.798,0.516
2025-08-04,45086000,27.7,20.61,80.84,3.323,2.669,0.654
2025-08-01,50221700,26.3,19.97,78.5,3.194,2.505,0.689
2025-07-31,54199600,27.3,19.38,85.42,3.126,2.333,0.793
2025-07-30,72979100,25.6,18.73,83.07,2.891,2.134,0.757
2025-07-29,118786000,23.95,18.13,80.18,2.723,1.945,0.778
2025-07-28,32943200,25.7,17.57,96.37,2.636,1.751,0.886
2025-07-25,35258900,24.05,16.92,95.59,2.31,1.53,0.78
2025-07-24,44869600,22.5,16.36,94.57,2.027,1.334,0.693
2025-07-23,64590100,21.65,15.86,93.85,1.795,1.161,0.633
2025-07-22,61721300,20.65,15.42,92.8,1.558,1.003,0.555
2025-07-21,71038700,19.3,15.04,90.85,1.336,0.864,0.472
2025-07-18,65011100,18.85,14.69,90.02,1.17,0.746,0.423
2025-07-17,51288400,17.65,14.38,87.09,0.987,0.641,0.346
2025-07-16,91904900,17.1,14.12,85.26,0.861,0.554,0.307
2025-07-15,60606300,16.0,13.9,79.96,0.744,0.477,0.267
2025-07-14,46475900,15.8,13.75,78.67,0.696,0.41,0.286
2025-07-11,50644800,15.85,13.63,79.86,0.645,0.339,0.306
2025-07-10,46300600,15.6,13.48,78.33,0.565,0.262,0.303
2025-07-09,60326700,15.55,13.38,78.02,0.481,0.186,0.295
2025-07-08,55672600,15.15,13.26,75.41,0.371,0.113,0.259
2025-07-07,69939100,14.85,13.16,73.18,0.266,0.048,0.218
2025-07-04,74330400,14.55,13.08,70.73,0.159,-0.007,0.166
2025-07-03,125401100,14.15,13.03,66.98,0.051,-0.048,0.099
2025-07-02,120961800,13.65,13.02,61.22,-0.048,-0.073,0.025
2025-07-01,25903800,12.8,13.04,46.48,-0.122,-0.079,-0.043
2025-06-30,19153200,12.75,13.1,45.34,-0.128,-0.068,-0.059
2025-06-27,16828200,12.7,13.16,44.25,-0.129,-0.054,-0.075
2025-06-26,17666900,12.7,13.21,44.25,-0.123,-0.035,-0.088
2025-06-25,21455400,12.85,13.26,46.67,-0.114,-0.013,-0.101
2025-06-24,53372200,12.9,13.31,47.48,-0.116,0.012,-0.128
2025-06-23,22294700,12.45,13.35,38.63,-0.122,0.045,-0.166
2025-06-20,14686900,12.55,13.4,40.02,-0.081,0.086,-0.167
2025-06-19,15391600,12.45,13.44,37.94,-0.039,0.128,-0.167
2025-06-18,22702900,12.6,13.5,39.87,0.025,0.17,-0.144
2025-06-17,27625800,13.15,13.54,48.17,0.092,0.206,-0.114
2025-06-16,23979700,13.3,13.55,50.85,0.12,0.234,-0.114
2025-06-13,65948900,13.0,13.52,45.18,0.139,0.263,-0.124
2025-06-12,26886400,13.4,13.52,52.71,0.191,0.294,-0.103
2025-06-11,23927500,13.3,13.51,50.81,0.214,0.319,-0.105
2025-06-10,38515700,13.2,13.49,48.9,0.251,0.346,-0.094
2025-06-09,37896600,13.15,13.47,47.96,0.305,0.369,-0.065
2025-06-06,47686000,13.55,13.44,55.53,0.374,0.385,-0.012
2025-06-05,50710300,13.85,13.39,62.39,0.415,0.388,0.027
2025-06-04,39324700,14.1,13.32,68.98,0.432,0.382,0.05
2025-06-03,65402200,14.05,13.22,68.36,0.422,0.369,0.053
2025-06-02,33480800,13.9,13.13,66.49,0.408,0.356,0.052
